match_scheme,condition,split,sign,label,q3,n_proteins_with_cases,n_cases,n_matched_cases,match_rate,n_controls_selected,mean_controls_per_matched_case
q3_neq_rsa_position,esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,C,31,36,21,0.5833333333333334,62,2.9523809523809526
q3_only,esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,H,46,51,49,0.9607843137254902,1821,37.16326530612245
q3_neq,esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,H,46,51,29,0.5686274509803921,121,4.172413793103448
q3_neq_rsa,esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,H,46,51,26,0.5098039215686274,91,3.5
q3_neq_rsa_position,esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,H,46,51,19,0.37254901960784315,64,3.3684210526315788
q3_only,esm2_frozen_bilstm_attn,test,1,flexibility_supporting,C,207,1280,1278,0.9984375,57316,44.84820031298904
q3_neq,esm2_frozen_bilstm_attn,test,1,flexibility_supporting,C,207,1280,1067,0.83359375,4277,4.008434864104967
q3_neq_rsa,esm2_frozen_bilstm_attn,test,1,flexibility_supporting,C,207,1280,873,0.68203125,2965,3.3963344788087055
q3_neq_rsa_position,esm2_frozen_bilstm_attn,test,1,flexibility_supporting,C,207,1280,591,0.46171875,1585,2.6818950930626055
q3_only,esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,E,129,309,297,0.9611650485436893,7597,25.579124579124578
q3_neq,esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,E,129,309,293,0.948220064724919,1423,4.856655290102389
q3_neq_rsa,esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,E,129,309,290,0.9385113268608414,1308,4.510344827586207
q3_neq_rsa_position,esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,E,129,309,229,0.7411003236245954,912,3.982532751091703
q3_only,esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,H,192,892,855,0.9585201793721974,30295,35.432748538011694
q3_neq,esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,H,192,892,846,0.9484304932735426,4094,4.839243498817967
q3_neq_rsa,esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,H,192,892,811,0.9091928251121076,3542,4.3674475955610355
q3_neq_rsa_position,esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,H,192,892,629,0.7051569506726457,2360,3.751987281399046
q3_only,esm2_frozen_bilstm_attn,test,1,flexibility_supporting,E,27,31,31,1.0,700,22.580645161290324
q3_neq,esm2_frozen_bilstm_attn,test,1,flexibility_supporting,E,27,31,24,0.7741935483870968,105,4.375
q3_neq_rsa,esm2_frozen_bilstm_attn,test,1,flexibility_supporting,E,27,31,21,0.6774193548387096,61,2.9047619047619047
q3_neq_rsa_position,esm2_frozen_bilstm_attn,test,1,flexibility_supporting,E,27,31,15,0.4838709677419355,35,2.3333333333333335
q3_only,esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,C,19,22,22,1.0,1030,46.81818181818182
q3_neq,esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,C,19,22,20,0.9090909090909091,96,4.8
