condition,split,metric,metric_kind,directional_hypothesis,n_paired_proteins,flex_minus_rigid_mean,flex_minus_rigid_median,sign_flip_null_mean,sign_flip_null_std,sign_flip_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
esm2_top4_bilstm_attn,test,neq_top10_within_protein,binary,flexibility-supporting higher,203,0.3583788935260286,0.3333333333333333,-0.0003617341621159356,0.03078465635524577,11.653228268926716,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,neq_peak,binary,flexibility-supporting higher,203,0.24328882234638005,0.25,-0.00025571688905108656,0.023668998375802466,10.289600572384765,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,distance_to_neq_peak,distance,flexibility-supporting lower,203,-6.0217503483610555,-6.285714285714286,-0.0090620343303601,0.45409263267933037,-13.241105187180422,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,test,distance_to_neq_top10,distance,flexibility-supporting lower,203,-5.12217369564725,-5.222222222222222,0.005984520348864401,0.4369958622844846,-11.735026938670828,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,test,q3_is_H,binary,two-sided,203,-0.7006430473568145,-0.75,-0.00034069609027218554,0.054140682124309975,-12.934863836008008,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,test,q3_is_E,binary,two-sided,203,-0.22480912340907153,-0.14285714285714285,0.0002322185045674805,0.027086228146275985,-8.308330739087397,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,test,q3_is_C,binary,two-sided,203,0.925452170765886,1.0,4.403321435859686e-05,0.06607119950875508,14.006225775103445,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,q8_is_T,binary,upper,203,0.28908332362765865,0.2727272727272727,-0.0004237366109533596,0.025421687620164602,11.388192025810813,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,q8_is_S,binary,upper,203,0.12989919904944533,0.0625,0.00020369860845230301,0.01455718756008099,8.909378951511666,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,q8_turn_or_bend_TS,binary,upper,203,0.41898252267710395,0.4,0.00013464738600206573,0.03483041512989592,12.025348355138986,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,q8_loop_turn_bend_CTS,binary,upper,203,0.909767738886873,1.0,-0.001489479808498476,0.06445887645037268,14.137032304572582,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,structured_linker_loop,binary,upper,203,0.7694286898104631,0.8,-9.660098658867129e-05,0.05653306228649216,13.611951302006858,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,q3_boundary_within2,binary,upper,203,0.3874270394428548,0.4555555555555556,0.0001245688582439942,0.03876690930505255,9.990542901859166,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,q8_boundary_within2,binary,upper,203,0.6441856418003683,0.6666666666666667,0.00014226182410911485,0.050047110230398276,12.868742610938435,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,test,distance_to_q3_boundary,distance,lower,203,-1.7364187471848866,-1.9090909090909087,-0.0013008226312620917,0.21509395977229312,-8.066790561624735,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
