condition,split,catalog_scope,sign,direction,n_protein_rows,mean_median_nearest_apex_distance,median_median_nearest_apex_distance,n_finite_median_nearest_apex_distance,mean_fraction_within_0_residues,median_fraction_within_0_residues,n_finite_fraction_within_0_residues,mean_fraction_within_2_residues,median_fraction_within_2_residues,n_finite_fraction_within_2_residues,mean_fraction_within_5_residues,median_fraction_within_5_residues,n_finite_fraction_within_5_residues,mean_fraction_within_10_residues,median_fraction_within_10_residues,n_finite_fraction_within_10_residues,mean_source_present_target_missing,median_source_present_target_missing,n_finite_source_present_target_missing,test_set_primary
esm2_top28_bilstm_attn,validation,mean_candidate,-1,uniform_to_observed,208,1.1774193548387097,0.0,62,0.8967032967032967,1.0,65,0.9274725274725275,1.0,65,0.9274725274725275,1.0,65,0.9274725274725275,1.0,65,0.014423076923076924,0.0,208,False
esm2_top28_bilstm_attn,validation,mean_candidate,1,observed_to_uniform,208,25.5,11.5,32,0.07741917234670857,0.0,207,0.0786269018153076,0.0,207,0.0786269018153076,0.0,207,0.08241112081691791,0.0,207,0.8413461538461539,1.0,208,False
esm2_top28_bilstm_attn,validation,mean_candidate,1,uniform_to_observed,208,0.0,0.0,32,0.9875,1.0,32,0.99375,1.0,32,0.99375,1.0,32,0.99375,1.0,32,0.0,0.0,208,False
esm2_top28_bilstm_attn,validation,seed_stable,-1,observed_to_uniform,208,44.601694915254235,11.5,59,0.18098210186278368,0.0,176,0.18950482913551098,0.0,176,0.18950482913551098,0.0,176,0.18950482913551098,0.0,176,0.5625,1.0,208,False
esm2_top28_bilstm_attn,validation,seed_stable,-1,uniform_to_observed,208,1.2372881355932204,0.0,59,0.937046004842615,1.0,59,0.9709443099273608,1.0,59,0.9709443099273608,1.0,59,0.9709443099273608,1.0,59,0.0,0.0,208,False
esm2_top28_bilstm_attn,validation,seed_stable,1,observed_to_uniform,208,31.134615384615383,16.0,26,0.05651250252699528,0.0,207,0.05772023199559431,0.0,207,0.05772023199559431,0.0,207,0.062309603976270646,0.0,207,0.8701923076923077,1.0,208,False
esm2_top28_bilstm_attn,validation,seed_stable,1,uniform_to_observed,208,0.0,0.0,26,0.9903846153846154,1.0,26,1.0,1.0,26,1.0,1.0,26,1.0,1.0,26,0.0,0.0,208,False
esm2_top4_bilstm_attn,train,mean_candidate,-1,observed_to_uniform,967,22.997668997669,0.0,429,0.34599209658087454,0.14285714285714285,813,0.35467150655179747,0.16666666666666666,813,0.35467150655179747,0.16666666666666666,813,0.354917509011822,0.16666666666666666,813,0.39710444674250256,0.0,967,False
esm2_top4_bilstm_attn,train,mean_candidate,-1,uniform_to_observed,967,1.062937062937063,0.0,429,0.9138767329032816,1.0,452,0.9384903076274757,1.0,452,0.9384903076274757,1.0,452,0.9384903076274757,1.0,452,0.023784901758014478,0.0,967,False
esm2_top4_bilstm_attn,train,mean_candidate,1,observed_to_uniform,967,43.31140350877193,25.75,228,0.10108935718030593,0.0,951,0.10385586862189623,0.0,951,0.10385586862189623,0.0,951,0.10602832423809527,0.0,951,0.7476732161323681,1.0,967,False
esm2_top4_bilstm_attn,train,mean_candidate,1,uniform_to_observed,967,0.20614035087719298,0.0,228,0.9544513457556936,1.0,230,0.981159420289855,1.0,230,0.981159420289855,1.0,230,0.9826086956521739,1.0,230,0.002068252326783868,0.0,967,False
esm2_top4_bilstm_attn,train,seed_stable,-1,observed_to_uniform,967,21.062953995157386,0.0,413,0.33533376217245187,0.08333333333333333,809,0.34389270083027806,0.125,809,0.34389270083027806,0.125,809,0.34413991961890605,0.125,809,0.4095139607032058,0.0,967,False
esm2_top4_bilstm_attn,train,seed_stable,-1,uniform_to_observed,967,1.4430992736077481,0.0,413,0.9145627605881063,1.0,434,0.9381665569453588,1.0,434,0.9381665569453588,1.0,434,0.9381665569453588,1.0,434,0.02171664943123061,0.0,967,False
esm2_top4_bilstm_attn,train,seed_stable,1,observed_to_uniform,967,43.71190476190476,26.0,210,0.09062281719149896,0.0,950,0.09321680215390497,0.0,950,0.09321680215390497,0.0,950,0.09496906743248605,0.0,950,0.765253360910031,1.0,967,False
esm2_top4_bilstm_attn,train,seed_stable,1,uniform_to_observed,967,0.3333333333333333,0.0,210,0.9477201257861636,1.0,212,0.9748427672955976,1.0,212,0.9748427672955976,1.0,212,0.9764150943396226,1.0,212,0.002068252326783868,0.0,967,False
esm2_top4_bilstm_attn,validation,mean_candidate,-1,observed_to_uniform,208,24.63372093023256,0.0,86,0.30831544998211663,0.0,171,0.3175772408228549,0.09090909090909091,171,0.3175772408228549,0.09090909090909091,171,0.3175772408228549,0.09090909090909091,171,0.40865384615384615,0.0,208,False
esm2_top4_bilstm_attn,validation,mean_candidate,-1,uniform_to_observed,208,0.9651162790697675,0.0,86,0.9077715355805243,1.0,89,0.9470973782771535,1.0,89,0.9470973782771535,1.0,89,0.9470973782771535,1.0,89,0.014423076923076924,0.0,208,False
esm2_top4_bilstm_attn,validation,mean_candidate,1,observed_to_uniform,208,34.0462962962963,18.5,54,0.11117564080937056,0.0,208,0.1145410254247552,0.0,208,0.1145410254247552,0.0,208,0.1209913459375757,0.0,208,0.7403846153846154,1.0,208,False
esm2_top4_bilstm_attn,validation,mean_candidate,1,uniform_to_observed,208,0.018518518518518517,0.0,54,0.9768518518518519,1.0,54,1.0,1.0,54,1.0,1.0,54,1.0,1.0,54,0.0,0.0,208,False
esm2_top4_bilstm_attn,validation,seed_stable,-1,observed_to_uniform,208,27.511904761904763,0.5,84,0.2937946556367609,0.0,171,0.30310960968855705,0.0,171,0.30310960968855705,0.0,171,0.30310960968855705,0.0,171,0.4182692307692308,0.0,208,False
esm2_top4_bilstm_attn,validation,seed_stable,-1,uniform_to_observed,208,1.25,0.0,84,0.9010536398467432,1.0,87,0.9420498084291189,1.0,87,0.9420498084291189,1.0,87,0.9420498084291189,1.0,87,0.014423076923076924,0.0,208,False
esm2_top4_bilstm_attn,validation,seed_stable,1,observed_to_uniform,208,32.205882352941174,20.0,51,0.10709196406944381,0.0,208,0.11045734868482844,0.0,208,0.11045734868482844,0.0,208,0.11450382304380281,0.0,208,0.7548076923076923,1.0,208,False
esm2_top4_bilstm_attn,validation,seed_stable,1,uniform_to_observed,208,0.0196078431372549,0.0,51,0.9754901960784313,1.0,51,1.0,1.0,51,1.0,1.0,51,1.0,1.0,51,0.0,0.0,208,False
