condition,sign,stage,evaluation_split,model_status,n_train_segments,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm3_top28_bilstm_attn,-1,04_add_contact_network,test,ok,6833,1487,692,166,0.8636950750371613,0.8375769229028941,0.8715284260356445,169,0.005571402243189305,0.010676554214628431
esm3_top28_bilstm_attn,-1,05_add_ecod_domain,validation,ok,6833,1416,690,158,0.878728376257123,0.853443962773889,0.8926161870254857,164,0.00154104593806903,-0.005975811677031206
esm3_top28_bilstm_attn,-1,05_add_ecod_domain,test,ok,6833,1487,692,166,0.8664508186966436,0.8411047566699412,0.8703240377511529,169,0.0027557436594823903,-0.0012043882844916531
esm3_top28_bilstm_attn,1,00_q8_only,validation,ok,31063,6828,1062,202,0.5,0.5000000000000017,0.5,495,,
esm3_top28_bilstm_attn,1,00_q8_only,test,ok,31063,6718,1023,195,0.5,0.500000000000007,0.5,452,,
esm3_top28_bilstm_attn,1,01_base_biophysics,validation,ok,31063,6828,1062,202,0.8179131476147203,0.8017793517958035,0.8179596761584876,495,0.31791314761472034,0.31795967615848764
esm3_top28_bilstm_attn,1,01_base_biophysics,test,ok,31063,6718,1023,195,0.815685114920187,0.8069650238828244,0.8157357546020043,452,0.315685114920187,0.3157357546020043
esm3_top28_bilstm_attn,1,02_add_local_sequence_or_annotation_geometry,validation,ok,31063,6828,1062,202,0.8314454850164412,0.8157634902235167,0.8201772443731579,495,0.013532337401720884,0.002217568214670229
esm3_top28_bilstm_attn,1,02_add_local_sequence_or_annotation_geometry,test,ok,31063,6718,1023,195,0.8361732363298973,0.8293688995358324,0.8346007849977866,452,0.020488121409710236,0.018865030395782245
esm3_top28_bilstm_attn,1,03_add_experimental_pdb_geometry,validation,ok,31063,6828,1062,202,0.8367882492062337,0.8218659231534425,0.8274545522629864,495,0.005342764189792515,0.007277307889828499
esm3_top28_bilstm_attn,1,03_add_experimental_pdb_geometry,test,ok,31063,6718,1023,195,0.8411165843112672,0.8321808506760592,0.8433183733579224,452,0.004943347981369972,0.008717588360135808
esm3_top28_bilstm_attn,1,04_add_contact_network,validation,ok,31063,6828,1062,202,0.8488371613287768,0.8329659275999276,0.8403219872052805,495,0.01204891212254311,0.012867434942294143
esm3_top28_bilstm_attn,1,04_add_contact_network,test,ok,31063,6718,1023,195,0.852496866355117,0.8429593307748889,0.853071995475732,452,0.011380282043849776,0.009753622117809613
esm3_top28_bilstm_attn,1,05_add_ecod_domain,validation,ok,31063,6828,1062,202,0.8489153806373935,0.8324567627026578,0.839130270088274,495,7.821930861662274e-05,-0.0011917171170064966
esm3_top28_bilstm_attn,1,05_add_ecod_domain,test,ok,31063,6718,1023,195,0.8581573941674532,0.8485175714404152,0.8634839604409932,452,0.005660527812336169,0.0104119649652612
esm3_top4_bilstm_attn,-1,00_q8_only,validation,ok,7039,1389,644,155,0.5,0.4999999999999997,0.5,160,,
esm3_top4_bilstm_attn,-1,00_q8_only,test,ok,7039,1503,664,166,0.5,0.5000000000000012,0.5,169,,
esm3_top4_bilstm_attn,-1,01_base_biophysics,validation,ok,7039,1389,644,155,0.8494863609749036,0.7997627826034619,0.8722259647344528,160,0.3494863609749036,0.3722259647344528
esm3_top4_bilstm_attn,-1,01_base_biophysics,test,ok,7039,1503,664,166,0.836767165146306,0.7723830817584545,0.8494913948968927,169,0.336767165146306,0.34949139489689274
esm3_top4_bilstm_attn,-1,02_add_local_sequence_or_annotation_geometry,validation,ok,7039,1389,644,155,0.8595477634907688,0.8219560493391986,0.8805081291693722,160,0.010061402515865181,0.008282164434919359
esm3_top4_bilstm_attn,-1,02_add_local_sequence_or_annotation_geometry,test,ok,7039,1503,664,166,0.8483082605519049,0.797220576601151,0.8660813580381731,169,0.011541095405598889,0.01658996314128036
esm3_top4_bilstm_attn,-1,03_add_experimental_pdb_geometry,validation,ok,7039,1389,644,155,0.8617571514873112,0.8277713018486461,0.8840560310573234,160,0.0022093879965424668,0.003547901887951288
esm3_top4_bilstm_attn,-1,03_add_experimental_pdb_geometry,test,ok,7039,1503,664,166,0.8585414654922777,0.8115927240551211,0.8732423276373666,169,0.010233204940372831,0.007160969599193545
esm3_top4_bilstm_attn,-1,04_add_contact_network,validation,ok,7039,1389,644,155,0.8610968353009758,0.8292166627314147,0.8771841906581391,160,-0.0006603161863354412,-0.006871840399184315
esm3_top4_bilstm_attn,-1,04_add_contact_network,test,ok,7039,1503,664,166,0.8630355439053644,0.8153964370159706,0.8778315368600251,169,0.004494078413086688,0.004589209222658486
esm3_top4_bilstm_attn,-1,05_add_ecod_domain,validation,ok,7039,1389,644,155,0.8624990310498466,0.8302612327507772,0.8759535289587272,160,0.0014021957488707937,-0.0012306616994118835
esm3_top4_bilstm_attn,-1,05_add_ecod_domain,test,ok,7039,1503,664,166,0.8641697331688897,0.8144499315222415,0.8773369047864458,169,0.0011341892635252648,-0.0004946320735793597
esm3_top4_bilstm_attn,1,00_q8_only,validation,ok,30994,6657,1011,203,0.5,0.5000000000000021,0.5,478,,
